#,Season,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,2024,,3800,3313,3806,690,437,150,14,89,335,480,380,20,1155,62,43,7,69,36,10,0.208,0.285,0.98,18.70%,40.10%,41.10%,10.90%,9.90%,48,5.50%,9,39.10%,40.40%,34.20%,25.50%,17.40%,51.70%,30.90%
#,Season,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,2024,,505,4,6,0,0,0,0,0,291,0,1,0,2,1,0,0,0,115,39,0,0,0,50.00%,0.00%,50.00%,0.00%,0.00%,0,0.00%,0,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,100.00%
#,Season,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
1,2024,,29,25,29,3,3,0,0,0,3,0,4,0,6,0,0,0,0,0,0,0.12,0.158,1,26.30%,36.80%,36.80%,0.00%,0.00%,0,0.00%,0,0.00%,31.60%,31.60%,36.80%,15.80%,52.60%,31.60%
