Season,Team,Level,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH
2018,LAA,MLB,114,326,367,93,48,21,2,22,59,61,37,2,102,2,1,0,2,10,4,0.285,1.32,23.60%,43.60%,32.90%,5.40%,29.70%,9.20%,0.00%,36.90%,37.30%,25.80%,10.20%,46.70%,43.10%,98,74,53,4,9
2019,LAA,MLB,106,384,425,110,67,20,5,18,51,62,33,1,110,2,4,0,6,12,3,0.286,2.03,25.90%,49.60%,24.50%,2.90%,26.50%,10.90%,0.00%,30.90%,37.80%,31.30%,8.60%,41.70%,49.60%,138,68,72,2,15
2020,LAA,MLB,46,153,175,29,16,6,0,7,23,24,22,0,50,0,0,0,3,7,1,0.19,1.5,17.50%,49.50%,33.00%,2.90%,20.60%,7.80%,0.00%,45.60%,34.00%,20.40%,19.40%,45.60%,35.00%,51,34,18,1,4
2021,LAA,MLB,158,537,639,138,58,26,8,46,103,100,96,20,189,4,2,0,7,26,10,0.257,0.94,21.40%,38.00%,40.60%,5.00%,32.90%,13.00%,80.00%,48.00%,30.00%,22.00%,10.90%,44.00%,45.10%,131,140,74,7,17
2022,LAA,MLB,157,586,666,160,90,30,6,34,90,95,72,14,161,5,3,0,6,11,9,0.273,1.1,19.80%,42.10%,38.10%,4.30%,21.00%,5.60%,33.30%,37.10%,35.00%,27.80%,8.90%,52.80%,38.30%,179,162,84,7,10
2023,LAA,MLB,135,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,9,20,6,0.304,1.07,18.20%,42.30%,39.50%,5.70%,31.20%,7.30%,0.00%,38.90%,36.10%,24.90%,9.80%,47.30%,42.90%,151,141,65,8,11
2024,LAD,MLB,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31,0.89,23.60%,36.00%,40.40%,5.20%,28.00%,5.80%,0.00%,42.40%,34.70%,23.00%,10.60%,45.10%,44.30%,172,193,113,10,10
2025,LAD,MLB,158,611,727,172,83,25,9,55,146,102,109,20,187,3,2,0,9,20,6,0.282,0.89,16.90%,39.20%,43.90%,5.30%,29.40%,9.00%,0.00%,45.50%,37.10%,17.40%,9.90%,44.80%,45.30%,167,187,72,10,15
