"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Wendzel, Davis",673995,2024,49,8,16,1
"Allen, Nick",669397,2024,105,9,39,6
"Canzone, Dominic",686527,2024,188,28,44,7
"Hoskins, Rhys",656555,2024,517,77,80,19
"Taveras, Leody",665750,2024,529,81,116,36
"Freeman, Freddie",518692,2024,638,103,139,41
"Judge, Aaron",592450,2024,704,83,82,28
"Hamilton, David",666152,2024,317,49,56,25
"Sosa, Lenyn",672820,2024,369,51,79,40
"Story, Trevor",596115,2024,106,12,14,4
"Norby, Connor",681393,2024,194,27,32,9
"Rendon, Anthony",543685,2024,238,45,55,13
"Remillard, Zach",621545,2024,39,5,11,0
"Lindor, Francisco",596019,2024,689,116,130,40
"Barnes, Austin",605131,2024,156,13,37,10
"Alexander, Blaze",677942,2024,185,24,42,4
"Narváez, Omar",553882,2024,69,17,18,2
"Benson, Will",666181,2024,388,51,55,11
"Sabol, Blake",666165,2024,38,4,5,2
"Lopez, Otto",672640,2024,434,57,132,23
"Sanoja, Javier",691594,2024,36,4,12,4
"Rengifo, Luis",650859,2024,304,28,94,23
"Rosario, Eddie",592696,2024,319,62,79,23
"Yastrzemski, Mike",573262,2024,474,67,85,24
"Crawford, J.P.",641487,2024,451,53,106,30
"Henderson, Gunnar",683002,2024,719,73,155,46
"Siani, Michael",672279,2024,334,28,99,16
"Julien, Edouard",666397,2024,301,37,58,16
"Grissom, Vaughn",687093,2024,114,14,34,11
"Crow-Armstrong, Pete",691718,2024,410,74,86,20
"Rojas, Josh",668942,2024,476,78,91,33
"Davis, Henry",680779,2024,122,12,18,4
"Valdez, Enmanuel",665839,2024,223,37,42,12
"Fry, David",681807,2024,392,59,70,15
"Marchán, Rafael",665561,2024,56,9,12,6
"Holliday, Jackson",702616,2024,208,25,50,8
"Smith, Josh",669701,2024,592,99,116,32
"García, Avisaíl",541645,2024,51,5,19,1
"Maldonado, Martín",455117,2024,147,27,30,4
"Conforto, Michael",624424,2024,488,60,109,20
"Soler, Jorge",624585,2024,574,77,107,18
"Betts, Mookie",605141,2024,516,108,81,42
"Alvarez, Yordan",670541,2024,635,125,98,38
"Wisely, Brett",689172,2024,272,53,58,10
"Flores, Wilmer",527038,2024,242,39,54,18
"Donovan, Brendan",680977,2024,652,94,163,49
"Schmitt, Casey",669477,2024,113,19,23,7
"Arenado, Nolan",571448,2024,635,90,141,56
"Shewmake, Braden",669699,2024,67,10,25,3
"Cowser, Colton",681297,2024,561,70,109,17
"Robles, Victor",645302,2024,295,40,63,14
"Smith, Pavin",656976,2024,158,20,38,9
"Jankowski, Travis",608671,2024,207,22,64,14
"Adams, Jordyn",677941,2024,38,4,8,2
"Alvarez, Francisco",682626,2024,342,33,87,17
"Grisham, Trent",663757,2024,209,33,42,4
"Buxton, Byron",621439,2024,388,59,45,25
"Soto, Livan",670869,2024,16,4,3,0
,,,182266,24599,39942,10644
