"last_name, first_name",player_id,year,pa,b_out_fly,b_out_ground,b_out_line_drive
"Keirsey Jr., DaShawn",680577,2024,14,3,4,3
"Crews, Dylan",686611,2024,132,14,42,4
"Wade Jr., LaMonte",664774,2024,401,48,79,24
"Moreno, Gabriel",672515,2024,351,46,90,24
"Naylor, Josh",647304,2024,633,81,172,38
"Grossman, Robbie",543257,2024,245,30,52,14
"Rios, Edwin",621458,2024,10,1,3,0
"Olivares, Edward",658668,2024,196,19,58,10
"Alonso, Pete",624413,2024,695,86,140,30
"De Los Santos, Luis",665782,2024,31,3,9,2
"Butler, Lawrence",671732,2024,451,62,103,20
"Refsnyder, Rob",608701,2024,307,28,63,14
"Meneses, Joey",608841,2024,313,46,81,20
"Tovar, Ezequiel",678662,2024,695,121,105,32
"Martini, Nick",605361,2024,163,26,36,9
"Waters, Drew",671221,2024,19,2,4,0
"Sullivan, Brett",664954,2024,17,3,1,0
"Acuña, Luisangel",682668,2024,40,4,10,5
"Swanson, Dansby",621020,2024,593,66,151,26
"Cabrera, Oswaldo",665828,2024,326,45,80,21
"Schneemann, Daniel",682177,2024,221,23,43,10
"Wells, Austin",669224,2024,414,61,81,24
"Marte, Starling",516782,2024,370,33,110,21
"Kjerstad, Heston",677008,2024,114,15,20,3
"Bellinger, Cody",641355,2024,569,125,102,36
"Chourio, Jackson",694192,2024,573,75,141,35
"Goodman, Hunter",696100,2024,224,37,48,14
"De La Cruz, Bryan",650559,2024,622,99,137,29
"Acuña Jr., Ronald",660670,2024,222,23,53,10
"Gomes, Yan",543228,2024,96,18,19,4
"Westbrook, Jamie",642197,2024,48,7,9,4
"Rodríguez, Julio",677594,2024,613,75,129,30
"Ortega, Rafael",542364,2024,17,4,5,0
"Lowe, Josh",666139,2024,387,55,54,21
"Cronenworth, Jake",630105,2024,656,91,157,40
"Happ, Ian",664023,2024,657,88,114,33
"Montero, Elehuris",660707,2024,247,44,46,16
"Brown, Seth",664913,2024,400,59,74,20
"Campero, Gustavo",672569,2024,48,5,17,1
"Canario, Alexander",672744,2024,28,1,3,2
"Barnhart, Tucker",571466,2024,96,7,24,4
"McCarthy, Jake",664983,2024,495,60,140,25
"Jung, Josh",673962,2024,188,29,39,10
"Williams, Alika",675961,2024,96,13,25,11
"Baldwin, Brooks",681460,2024,121,22,19,5
"Lipscomb III, Trey",702358,2024,211,15,75,15
"Rojas, Johan",679032,2024,363,35,121,17
"Ruiz, Esteury",665923,2024,65,10,10,3
"McMahon, Ryan",641857,2024,645,64,139,35
"Clase, Jonatan",682729,2024,66,14,10,3
"Trejo, Alan",676701,2024,67,14,20,5
"Haniger, Mitch",571745,2024,423,52,84,24
"Higashioka, Kyle",543309,2024,263,43,43,14
"Carlson, Dylan",666185,2024,265,39,51,15
"Díaz, Elias",553869,2024,351,33,99,23
"Kavadas, Niko",694359,2024,106,21,6,4
"Pauley, Graham",688363,2024,32,5,5,3
"Smith, Dominic",642086,2024,307,44,69,15
"Turner, Trea",607208,2024,539,77,127,34
"Raleigh, Cal",663728,2024,628,96,84,34
"Arcia, Orlando",606115,2024,602,71,163,36
"Thomas, Alek",677950,2024,103,10,43,7
"Triolo, Jared",669707,2024,446,60,85,35
"Westburg, Jordan",676059,2024,447,63,100,29
"Perkins, Blake",663368,2024,434,62,87,23
"Leblanc, Charles",641779,2024,28,3,2,3
"Torkelson, Spencer",679529,2024,381,53,57,21
"Lee, Korey",686676,2024,394,46,94,21
"Grandal, Yasmani",518735,2024,243,35,68,12
"Manzardo, Kyle",700932,2024,156,34,23,7
"Fortes, Nick",663743,2024,335,43,99,26
"Martínez, J.P.",679881,2024,10,0,3,0
"Ramírez, José",608070,2024,682,124,138,43
"Kwan, Steven",680757,2024,540,102,117,43
"Velázquez, Nelson",676369,2024,230,42,42,8
"Bailey, Patrick",672275,2024,448,63,101,37
"Frazier, Adam",624428,2024,294,43,70,26
"Pinto, René",650907,2024,49,9,4,2
"McKinney, Billy",641856,2024,28,1,6,0
"Hill, Derek",656537,2024,172,16,37,13
"Steer, Spencer",668715,2024,656,100,129,39
"Turner, Justin",457759,2024,539,90,94,42
"Adames, Willy",642715,2024,688,106,102,36
"Tucker, Kyle",663656,2024,339,58,47,24
"Heineman, Tyler",623168,2024,16,4,0,0
"Vázquez, Luis",676679,2024,14,0,3,1
"Santander, Anthony",623993,2024,665,113,114,38
"Gamel, Ben",592325,2024,99,9,18,9
"Perez, Salvador",521692,2024,652,116,117,37
"Harris, Brett",695391,2024,123,17,26,11
"Malloy, Justyn-Henry",669234,2024,230,32,34,4
"Domínguez, Jasson",691176,2024,67,3,17,4
